epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,265.82,0.90088,0.39671,0.86644,0.99296,0.99878,0.99492,0.74796,0.94569,0.36898,0.89136,0.0002378,0.0002378,0.0002378
91,313.475,0.90552,0.41813,0.88917,0.99279,0.99858,0.9949,0.74204,0.95812,0.37354,0.89446,0.000218,0.000218,0.000218
92,316.579,0.90463,0.40964,0.8857,0.99249,0.99831,0.9949,0.74712,0.95119,0.39964,0.89026,0.0001982,0.0001982,0.0001982
93,319.689,0.89357,0.40813,0.8825,0.99249,0.99828,0.99493,0.74762,0.94818,0.3854,0.89128,0.0001784,0.0001784,0.0001784
94,322.539,0.88886,0.39435,0.88766,0.99202,0.9984,0.99492,0.74526,0.95311,0.37808,0.89503,0.0001586,0.0001586,0.0001586
95,325.196,0.87657,0.38703,0.88262,0.99296,0.99882,0.99491,0.74878,0.94694,0.3732,0.89317,0.0001388,0.0001388,0.0001388
96,327.696,0.8813,0.3825,0.87668,0.99334,0.99811,0.99475,0.74638,0.94812,0.37225,0.8917,0.000119,0.000119,0.000119
97,330.157,0.87749,0.38524,0.87527,0.99156,0.99901,0.99462,0.74623,0.9468,0.37443,0.8913,9.92e-05,9.92e-05,9.92e-05
98,332.665,0.88106,0.38875,0.87501,0.99156,0.99875,0.99466,0.74549,0.94668,0.37411,0.89122,7.94e-05,7.94e-05,7.94e-05
99,335.228,0.88257,0.38915,0.87322,0.99196,0.99858,0.99473,0.74794,0.94472,0.37161,0.89036,5.96e-05,5.96e-05,5.96e-05
100,337.83,0.87141,0.38045,0.87441,0.99289,0.99858,0.99477,0.75024,0.94477,0.36832,0.89004,3.98e-05,3.98e-05,3.98e-05
